width,quality,repeat,frame_idx,payload_bytes,ok,client_e2e_ms,recv_ms,modal_ms,total_ms,network_ms,num_boxes,error
160,0.6,0,5,2937,True,20.0,0,19,19,1.0,0,
160,0.6,0,6,2995,True,20.7,1,19,19,1.7,0,
160,0.6,0,7,3318,True,20.4,1,19,19,1.4,0,
160,0.6,0,8,3361,True,31.6,1,30,30,1.6,0,
160,0.6,0,9,3223,True,23.6,1,22,22,1.6,0,
160,0.6,0,10,3383,True,22.5,1,21,21,1.5,0,
160,0.6,0,11,3506,True,23.0,1,22,22,1.0,0,
160,0.6,0,12,3242,True,22.8,1,21,22,0.8,0,
160,0.6,0,13,3389,True,22.8,1,22,22,0.8,0,
160,0.6,0,14,3363,True,22.4,1,21,21,1.4,0,
160,0.6,0,15,3422,True,22.5,1,21,21,1.5,0,
160,0.6,0,16,3489,True,23.0,1,22,22,1.0,0,
160,0.6,0,17,3285,True,22.4,1,21,21,1.4,0,
160,0.6,0,18,3494,True,22.4,1,21,21,1.4,0,
160,0.6,0,19,3333,True,22.5,1,21,21,1.5,0,
160,0.6,0,20,3459,True,22.4,1,21,21,1.4,0,
160,0.6,0,21,3362,True,22.3,1,21,21,1.3,0,
160,0.6,0,22,3248,True,23.3,1,22,22,1.3,0,
160,0.6,0,23,3446,True,22.4,1,21,21,1.4,0,
160,0.6,0,24,3305,True,22.5,1,21,21,1.5,0,
160,0.6,0,25,3430,True,22.5,1,21,21,1.5,0,
160,0.6,0,26,3413,True,22.6,1,21,21,1.6,0,
160,0.6,0,27,3233,True,23.3,1,22,22,1.3,0,
160,0.6,0,28,3381,True,22.2,1,21,21,1.2,0,
160,0.6,0,29,3215,True,22.2,1,21,21,1.2,0,
160,0.6,0,30,3251,True,22.3,1,21,21,1.3,0,
160,0.6,0,31,3111,True,22.1,1,21,21,1.1,0,
160,0.6,0,32,3389,True,22.3,1,21,21,1.3,0,
160,0.6,0,33,3045,True,24.5,1,23,23,1.5,1,
160,0.6,0,34,3020,True,23.3,1,22,22,1.3,1,
160,0.6,0,35,2937,True,23.4,1,22,22,1.4,1,
160,0.6,0,36,2972,True,27.0,1,26,26,1.0,1,
160,0.6,0,37,2903,True,23.7,1,22,22,1.7,1,
160,0.6,0,38,2933,True,24.3,1,23,23,1.3,1,
160,0.6,0,39,2867,True,23.5,1,22,22,1.5,1,
160,0.6,0,40,2824,True,23.4,1,22,22,1.4,1,
160,0.6,0,41,2948,True,25.8,1,24,24,1.8,1,
160,0.6,0,42,2951,True,23.7,1,22,22,1.7,1,
160,0.6,0,43,2908,True,24.2,1,23,23,1.2,1,
160,0.6,0,44,2906,True,23.5,1,22,22,1.5,1,
160,0.6,0,45,2945,True,22.2,1,21,21,1.2,0,
160,0.6,0,46,2839,True,26.2,1,25,25,1.2,1,
160,0.6,0,47,2965,True,22.2,1,21,21,1.2,0,
160,0.6,0,48,2874,True,24.2,1,23,23,1.2,2,
160,0.6,0,49,2953,True,22.6,1,21,21,1.6,0,
160,0.6,0,50,3019,True,24.8,1,23,23,1.8,0,
160,0.6,0,51,3040,True,22.7,1,21,21,1.7,0,
160,0.6,0,52,3179,True,22.1,1,21,21,1.1,0,
160,0.6,0,53,2905,True,22.9,1,22,22,0.9,0,
160,0.6,0,54,2865,True,22.1,0,21,21,1.1,0,
160,0.6,0,55,3434,True,24.8,1,23,23,1.8,0,
160,0.6,0,56,3312,True,22.7,1,21,21,1.7,0,
160,0.6,0,57,3290,True,22.3,1,21,21,1.3,0,
160,0.6,0,58,3525,True,22.2,1,21,21,1.2,0,
160,0.6,0,59,3388,True,23.2,1,22,22,1.2,0,
160,0.6,0,60,3592,True,25.6,1,24,24,1.6,0,
160,0.6,0,61,3501,True,22.5,1,21,21,1.5,0,
160,0.6,0,62,3228,True,22.2,1,21,21,1.2,0,
160,0.6,0,63,3077,True,22.3,1,21,21,1.3,0,
160,0.6,0,64,3157,True,24.2,1,23,23,1.2,1,
160,0.85,0,5,5003,True,24.7,1,23,23,1.7,0,
160,0.85,0,6,5285,True,22.4,1,21,21,1.4,0,
160,0.85,0,7,5722,True,22.4,1,21,21,1.4,0,
160,0.85,0,8,6000,True,22.5,1,21,21,1.5,0,
160,0.85,0,9,5687,True,23.0,1,22,22,1.0,0,
160,0.85,0,10,6043,True,24.9,1,24,24,0.9,0,
160,0.85,0,11,6238,True,22.6,1,21,21,1.6,0,
160,0.85,0,12,5688,True,22.5,1,21,21,1.5,0,
160,0.85,0,13,6024,True,22.5,1,21,21,1.5,0,
160,0.85,0,14,5923,True,23.1,1,22,22,1.1,0,
160,0.85,0,15,6170,True,24.4,1,23,23,1.4,0,
160,0.85,0,16,6188,True,22.6,1,21,21,1.6,0,
160,0.85,0,17,5781,True,22.4,1,21,21,1.4,0,
160,0.85,0,18,6101,True,22.4,1,21,21,1.4,0,
160,0.85,0,19,5816,True,25.2,1,24,24,1.2,0,
160,0.85,0,20,6112,True,23.2,1,22,22,1.2,0,
160,0.85,0,21,5902,True,23.7,1,22,22,1.7,1,
160,0.85,0,22,5712,True,22.4,1,21,21,1.4,0,
160,0.85,0,23,6032,True,22.3,1,21,21,1.3,0,
160,0.85,0,24,5673,True,25.0,1,24,24,1.0,0,
160,0.85,0,25,5997,True,23.3,1,22,22,1.3,0,
160,0.85,0,26,5927,True,22.4,1,21,21,1.4,0,
160,0.85,0,27,5618,True,22.6,1,21,21,1.6,0,
160,0.85,0,28,5885,True,22.5,1,21,21,1.5,0,
160,0.85,0,29,5455,True,25.2,1,24,24,1.2,0,
160,0.85,0,30,5545,True,23.2,1,22,22,1.2,0,
160,0.85,0,31,5242,True,22.8,1,21,21,1.8,0,
160,0.85,0,32,5530,True,23.0,1,21,22,1.0,0,
160,0.85,0,33,5091,True,25.1,1,24,24,1.1,1,
160,0.85,0,34,5085,True,25.3,1,24,24,1.3,1,
160,0.85,0,35,4948,True,24.2,1,23,23,1.2,1,
160,0.85,0,36,5002,True,23.7,1,22,22,1.7,1,
160,0.85,0,37,4863,True,23.7,1,22,22,1.7,1,
160,0.85,0,38,4849,True,23.5,1,22,22,1.5,1,
160,0.85,0,39,4841,True,25.0,1,24,24,1.0,1,
160,0.85,0,40,4724,True,24.2,1,23,23,1.2,1,
160,0.85,0,41,4960,True,23.5,1,22,22,1.5,1,
160,0.85,0,42,4943,True,24.1,1,23,23,1.1,1,
