width,quality,frames,failed,payload_kb_mean,e2e_mean_ms,e2e_p50_ms,e2e_p90_ms,e2e_p95_ms,modal_mean_ms,network_mean_ms,achievable_fps,meets_target
160,0.6,60,0,3.1,23.2,22.6,24.8,25.8,21.8,1.4,43.19,True
160,0.85,60,0,5.4,23.6,23.2,25.2,25.7,22.1,1.4,42.45,True
224,0.6,60,0,4.8,23.5,23.2,25.1,25.4,22.0,1.4,42.63,True
224,0.85,60,0,8.7,24.0,24.0,25.2,26.6,22.4,1.5,41.69,True
320,0.6,60,0,8.2,24.4,23.9,26.3,28.0,22.9,1.5,41.02,True
320,0.85,60,0,15.1,25.3,24.7,28.4,29.3,23.5,1.8,39.47,True
480,0.6,60,0,15.4,24.9,24.8,25.8,27.0,22.9,2.0,40.11,True
480,0.85,60,0,28.3,25.6,25.4,27.1,27.7,23.0,2.6,39.04,True
640,0.6,60,0,24.0,25.1,25.0,26.6,27.0,22.9,2.2,39.77,True
640,0.85,60,0,43.2,26.0,25.6,27.4,28.0,22.9,3.1,38.51,True
